mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
2,Mr,José María,Lafuente López,,,male,Estonia,Barcelona,18/05/1921 01:00,,https://www.europarl.europa.eu/mepphoto/2.jpg,,,,,,,https://data.europarl.europa.eu/person/2
220,Mr,Richie,Ryan,,,male,Ireland,Dublin,27/02/1929 02:00,17/03/2019 01:00,https://www.europarl.europa.eu/mepphoto/220.jpg,,,,,,,https://data.europarl.europa.eu/person/220
232,Mr,José Manuel,Duarte Cendán,,,male,Estonia,Madrid,11/08/1936 01:00,,https://www.europarl.europa.eu/mepphoto/232.jpg,,,,,,,https://data.europarl.europa.eu/person/232
233,Mr,Eolo,Parodi,,,male,Italy,Genova-Sestri,21/05/1926 01:00,03/04/2018 12:00,https://www.europarl.europa.eu/mepphoto/233.jpg,,,,,,,https://data.europarl.europa.eu/person/233
433,Mr,André,Fanton,,,male,France,,,,https://www.europarl.europa.eu/mepphoto/433.jpg,,,,,,,https://data.europarl.europa.eu/person/433
682,Mr,Giovanni,Travaglini,,,male,Italy,Napoli,30/10/1924 02:00,15/11/2020 01:00,https://www.europarl.europa.eu/mepphoto/682.jpg,,,,,,,https://data.europarl.europa.eu/person/682
799,Mr,Jean A.F.,Lecanuet,,,male,France,Rouen,04/03/1920 01:00,,https://www.europarl.europa.eu/mepphoto/799.jpg,,,,,,,https://data.europarl.europa.eu/person/799
893,Mr,Antonio,Del Duca,,,male,Italy,Casacanditella (Chieti),04/07/1926 01:00,09/02/2021 01:00,https://www.europarl.europa.eu/mepphoto/893.jpg,,,,,,,https://data.europarl.europa.eu/person/893
941,Ms,Ursula,Braun-Moser,,,female,Germany,Frankfurt a. M.,25/05/1937 01:00,02/05/2022 12:00,https://www.europarl.europa.eu/mepphoto/941.jpg,,,,,,,https://data.europarl.europa.eu/person/941
945,Ms,Nicole,Fontaine,,,female,France,Grainville-Ymauville (Seine-Maritime),16/01/1942 12:00,17/05/2018 12:00,https://www.europarl.europa.eu/mepphoto/945.jpg,,,,,,,https://data.europarl.europa.eu/person/945
946,Ms,Simone M.M.,Martin,,,female,France,Tourcoing,14/04/1943 12:00,,https://www.europarl.europa.eu/mepphoto/946.jpg,,,,,,,https://data.europarl.europa.eu/person/946
947,Ms,Luciana,Castellina,,,female,Italy,Roma,09/08/1929 01:00,,https://www.europarl.europa.eu/mepphoto/947.jpg,,,,,,,https://data.europarl.europa.eu/person/947
949,Ms,Maria Luisa,Cassanmagnago Cerretti,,,female,Italy,Bergamo,07/04/1929 02:00,04/08/2008 12:00,https://www.europarl.europa.eu/mepphoto/949.jpg,,,,,,,https://data.europarl.europa.eu/person/949
955,Mr,Vassilis,Ephremidis,???????,??????????,male,Greece,Athina,31/12/1915 01:00,17/08/2000 12:00,https://www.europarl.europa.eu/mepphoto/955.jpg,,,,,,,https://data.europarl.europa.eu/person/955
960,Mr,François,Musso,,,male,France,Ajaccio (Corse du Sud),01/10/1935 01:00,,https://www.europarl.europa.eu/mepphoto/960.jpg,,,,,,,https://data.europarl.europa.eu/person/960
961,Mr,José Antonio,Escudero,,,male,Estonia,Barbastro,12/10/1936 02:00,,https://www.europarl.europa.eu/mepphoto/961.jpg,,,,,,,https://data.europarl.europa.eu/person/961
969,Mr,Antonio,Iodice,,,male,Italy,Giugliano (NA),28/10/1941 12:00,,https://www.europarl.europa.eu/mepphoto/969.jpg,,,,,,,https://data.europarl.europa.eu/person/969
971,Mr,Alberto,Michelini,,,male,Italy,Roma,25/07/1941 12:00,,https://www.europarl.europa.eu/mepphoto/971.jpg,,,,,,,https://data.europarl.europa.eu/person/971
974,Mr,Christian,de la Malène,,,male,France,Nîmes (Gard),05/12/1920 02:00,26/09/2007 12:00,https://www.europarl.europa.eu/mepphoto/974.jpg,,,,,,,https://data.europarl.europa.eu/person/974
975,Mr,Henri,SABY,,,male,France,Toulouse,08/08/1933 01:00,16/06/2011 12:00,https://www.europarl.europa.eu/mepphoto/975.jpg,,,,,,,https://data.europarl.europa.eu/person/975
976,Mr,Bernard,Thareau,,,male,France,La Rouxière,02/09/1936 01:00,29/06/1995 12:00,https://www.europarl.europa.eu/mepphoto/976.jpg,,,,,,,https://data.europarl.europa.eu/person/976
977,Mr,Vincenzo,Bettiza,,,male,Italy,Split (Jugoslavia),07/06/1927 01:00,26/07/2017 12:00,https://www.europarl.europa.eu/mepphoto/977.jpg,,,,,,,https://data.europarl.europa.eu/person/977
983,Mr,Nino,Pisoni,,,male,Italy,Nerviano (Mi),05/05/1927 01:00,20/12/2002 01:00,https://www.europarl.europa.eu/mepphoto/983.jpg,,,,,,,https://data.europarl.europa.eu/person/983
987,Mr,Nicolas,Estgen,,,male,Luxembourg,Dudelange,28/02/1930 02:00,26/12/2019 01:00,https://www.europarl.europa.eu/mepphoto/987.jpg,,,,,,,https://data.europarl.europa.eu/person/987
988,Mr,Carlo,Casini,,,male,Italy,Firenze,04/03/1935 02:00,23/03/2020 01:00,https://www.europarl.europa.eu/mepphoto/988.jpg,,,,,,,https://data.europarl.europa.eu/person/988
991,Mr,Salvatore,Lima,,,male,Italy,Palermo,23/01/1928 02:00,12/03/1992 01:00,https://www.europarl.europa.eu/mepphoto/991.jpg,,,,,,,https://data.europarl.europa.eu/person/991
1002,Mr,Marco,Pannella,,,male,Italy,Teramo,02/05/1930 12:00,19/05/2016 12:00,https://www.europarl.europa.eu/mepphoto/1002.jpg,,,,,,,https://data.europarl.europa.eu/person/1002
1003,Mr,Ferruccio,Pisoni,,,male,Italy,Sarche di Calavino (TN),06/08/1936 01:00,12/12/2020 01:00,https://www.europarl.europa.eu/mepphoto/1003.jpg,,,,,,,https://data.europarl.europa.eu/person/1003
1004,Mr,Andrea,RAGGIO,,,male,Italy,Cagliari,30/11/1929 02:00,30/03/2013 01:00,https://www.europarl.europa.eu/mepphoto/1004.jpg,,,,,,,https://data.europarl.europa.eu/person/1004
1006,Mr,Giorgio,Rossetti,,,male,Italy,Trieste,24/08/1938 01:00,,https://www.europarl.europa.eu/mepphoto/1006.jpg,,,,,,,https://data.europarl.europa.eu/person/1006
1009,Mr,Gerardo,Gaibisso,,,male,Italy,Monte Argentario (GR),30/05/1927 01:00,31/03/2018 12:00,https://www.europarl.europa.eu/mepphoto/1009.jpg,,,,,,,https://data.europarl.europa.eu/person/1009
1011,Mr,Vincenzo,Mattina,,,male,Italy,Buonabitacolo (SA),29/07/1940 12:00,,https://www.europarl.europa.eu/mepphoto/1011.jpg,,,,,,,https://data.europarl.europa.eu/person/1011
1012,Mr,Franco,Borgo,,,male,Italy,Lugo Vicentino (VI),10/10/1932 02:00,09/03/2017 01:00,https://www.europarl.europa.eu/mepphoto/1012.jpg,,,,,,,https://data.europarl.europa.eu/person/1012
1014,Mr,Mauro,Chiabrando,,,male,Italy,Pinerolo (TO),29/03/1932 02:00,25/12/2016 01:00,https://www.europarl.europa.eu/mepphoto/1014.jpg,,,,,,,https://data.europarl.europa.eu/person/1014
