mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
9,Mr,Herbert W.,Köhler,,,male,Germany,Peiskretscham Kreis Gleiwitz,17/12/1919 02:00,,https://www.europarl.europa.eu/mepphoto/9.jpg,,,,,,,https://data.europarl.europa.eu/person/9
220,Mr,Richie,Ryan,,,male,Ireland,Dublin,27/02/1929 02:00,17/03/2019 01:00,https://www.europarl.europa.eu/mepphoto/220.jpg,,,,,,,https://data.europarl.europa.eu/person/220
270,Mr,Silvio,Leonardi,,,male,Italy,Torino,16/07/1914 01:00,21/04/1990 12:00,https://www.europarl.europa.eu/mepphoto/270.jpg,,,,,,,https://data.europarl.europa.eu/person/270
281,Mr,Gabriel,Kaspereit,,,male,France,Paris,21/06/1919 01:00,,https://www.europarl.europa.eu/mepphoto/281.jpg,,,,,,,https://data.europarl.europa.eu/person/281
312,Mr,Pietro,LEZZI,,,male,Italy,Napoli,15/12/1922 02:00,05/10/2013 12:00,https://www.europarl.europa.eu/mepphoto/312.jpg,,,,,,,https://data.europarl.europa.eu/person/312
433,Mr,André,Fanton,,,male,France,,31/03/1928 02:00,,https://www.europarl.europa.eu/mepphoto/433.jpg,,,,,,,https://data.europarl.europa.eu/person/433
646,Mr,André R.J.-M.H.-A,Damseaux,,,male,Belgium,,05/03/1937 02:00,,https://www.europarl.europa.eu/mepphoto/646.jpg,,,,,,,https://data.europarl.europa.eu/person/646
647,Ms,Louise,Weiss,,,female,France,Arras,###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/647.jpg,,,,,,,https://data.europarl.europa.eu/person/647
648,Ms,Hanna,Walz,,,female,Germany,Templin (Uckermark),28/11/1918 02:00,,https://www.europarl.europa.eu/mepphoto/648.jpg,,,,,,,https://data.europarl.europa.eu/person/648
653,Mr,Joris B.,Verhaegen,,,male,Belgium,Hulshout,03/05/1921 01:00,25/08/1981 12:00,https://www.europarl.europa.eu/mepphoto/653.jpg,,,,,,,https://data.europarl.europa.eu/person/653
654,Mr,Protogene,Veronesi,,,male,Italy,Bologna,19/02/1920 01:00,23/08/1990 12:00,https://www.europarl.europa.eu/mepphoto/654.jpg,,,,,,,https://data.europarl.europa.eu/person/654
655,Mr,Themistokles,Visas,???????????,?????,male,Greece,Plolemaida,13/11/1930 02:00,,https://www.europarl.europa.eu/mepphoto/655.jpg,,,,,,,https://data.europarl.europa.eu/person/655
