mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
4,Mr,Th.E.,Westerterp,,,male,Netherlands,Rotterdam,02/12/1930 02:00,,https://www.europarl.europa.eu/mepphoto/4.jpg,,,,,,,https://data.europarl.europa.eu/person/4
5,Mr,Egbert R.,Wieldraaijer,,,male,Netherlands,Borne,31/03/1927 02:00,,https://www.europarl.europa.eu/mepphoto/5.jpg,,,,,,,https://data.europarl.europa.eu/person/5
6,Mr,J.,de Wilde,,,male,Netherlands,Amsterdam,27/12/1913 01:00,,https://www.europarl.europa.eu/mepphoto/6.jpg,,,,,,,https://data.europarl.europa.eu/person/6
10,Mr,Hendrikus,Vredeling,,,male,Netherlands,Amersfoort,20/11/1924 02:00,,https://www.europarl.europa.eu/mepphoto/10.jpg,,,,,,,https://data.europarl.europa.eu/person/10
11,Mr,Hendrik J.G.,Waltmans,,,male,Netherlands,Brunssum (L),28/03/1930 02:00,,https://www.europarl.europa.eu/mepphoto/11.jpg,,,,,,,https://data.europarl.europa.eu/person/11
12,Mr,G.,Vixseboxse,,,male,Netherlands,Almelo,###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/12.jpg,,,,,,,https://data.europarl.europa.eu/person/12
13,Mr,Mario,Zotta,,,male,Italy,Pietra Galla,06/11/1904 01:00,,https://www.europarl.europa.eu/mepphoto/13.jpg,,,,,,,https://data.europarl.europa.eu/person/13
14,Mr,Vincenzo,Vernaschi,,,male,Italy,Cremona,27/03/1929 02:00,,https://www.europarl.europa.eu/mepphoto/14.jpg,,,,,,,https://data.europarl.europa.eu/person/14
15,Mr,Mario,Vetrone,,,male,Italy,Benrvento,26/01/1914 01:00,,https://www.europarl.europa.eu/mepphoto/15.jpg,,,,,,,https://data.europarl.europa.eu/person/15
16,Mr,Max,van der Stoel,,,male,Netherlands,,03/08/1924 01:00,,https://www.europarl.europa.eu/mepphoto/16.jpg,,,,,,,https://data.europarl.europa.eu/person/16
17,Mr,Daniele,Turani,,,male,Italy,Bergamo,08/02/1907 01:00,,https://www.europarl.europa.eu/mepphoto/17.jpg,,,,,,,https://data.europarl.europa.eu/person/17
18,Mr,Michele,Troisi,,,male,Italy,Tufo (Avellino),27/02/1906 01:00,,https://www.europarl.europa.eu/mepphoto/18.jpg,,,,,,,https://data.europarl.europa.eu/person/18
19,Mr,Athos,Valsecchi,,,male,Italy,Gravedona (Como),26/11/1919 02:00,,https://www.europarl.europa.eu/mepphoto/19.jpg,,,,,,,https://data.europarl.europa.eu/person/19
20,Mr,Raul,Zaccari,,,male,Italy,Bordighera (Imperia),02/03/1916 01:00,,https://www.europarl.europa.eu/mepphoto/20.jpg,,,,,,,https://data.europarl.europa.eu/person/20
21,Mr,Vinicio,Ziino,,,male,Italy,Messina,21/08/1900 01:36,,https://www.europarl.europa.eu/mepphoto/21.jpg,,,,,,,https://data.europarl.europa.eu/person/21
22,Mr,Amor,Tartufoli,,,male,Italy,Ascoli Piceno,###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/22.jpg,,,,,,,https://data.europarl.europa.eu/person/22
23,Mr,Giuseppe,Togni,,,male,Italy,Pontedera (Pisa),05/12/1903 01:36,,https://www.europarl.europa.eu/mepphoto/23.jpg,,,,,,,https://data.europarl.europa.eu/person/23
24,Mr,Giusto,Tolloy,,,male,Italy,Trieste,03/11/1907 01:00,,https://www.europarl.europa.eu/mepphoto/24.jpg,,,,,,,https://data.europarl.europa.eu/person/24
25,Mr,Alberto,Simonini,,,male,Italy,Reggio Emilia,###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/25.jpg,,,,,,,https://data.europarl.europa.eu/person/25
26,Mr,Zefferino,Tomé,,,male,Italy,Casarsa della Delizia (Udine),01/12/1905 01:00,,https://www.europarl.europa.eu/mepphoto/26.jpg,,,,,,,https://data.europarl.europa.eu/person/26
27,Mr,Bruno,Storti,,,male,Italy,Roma,09/07/1913 01:00,,https://www.europarl.europa.eu/mepphoto/27.jpg,,,,,,,https://data.europarl.europa.eu/person/27
28,Mr,Attilio,Terragni,,,male,Italy,Lentate S. Severo (Milano),###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/28.jpg,,,,,,,https://data.europarl.europa.eu/person/28
29,Mr,Guglielmo,Schiratti,,,male,Italy,Maiano,07/08/1901 01:36,,https://www.europarl.europa.eu/mepphoto/29.jpg,,,,,,,https://data.europarl.europa.eu/person/29
30,Mr,Mauro,Scoccimarro,,,male,Italy,Udine,###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/30.jpg,,,,,,,https://data.europarl.europa.eu/person/30
31,Mr,Alessandro,Schiavi,,,male,Italy,Cesenatico (Forlì),###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/31.jpg,,,,,,,https://data.europarl.europa.eu/person/31
32,Mr,Vincenzo,Selvaggi,,,male,Italy,S. Massimo (Campobasso),13/07/1913 01:00,,https://www.europarl.europa.eu/mepphoto/32.jpg,,,,,,,https://data.europarl.europa.eu/person/32
33,Mr,Mario,Scelba,,,male,Italy,Caltagirone (Catania),05/09/1901 01:36,,https://www.europarl.europa.eu/mepphoto/33.jpg,,,,,,,https://data.europarl.europa.eu/person/33
34,Ms,Käte,Strobel,,,female,Germany,Nürnberg,23/07/1907 01:00,,https://www.europarl.europa.eu/mepphoto/34.jpg,,,,,,,https://data.europarl.europa.eu/person/34
36,Mr,Emile,Vanrullen,,,male,France,Tourcoing,07/03/1903 01:36,,https://www.europarl.europa.eu/mepphoto/36.jpg,,,,,,,https://data.europarl.europa.eu/person/36
37,Mr,Francis,Vals,,,male,France,Leucate,09/01/1910 01:00,,https://www.europarl.europa.eu/mepphoto/37.jpg,,,,,,,https://data.europarl.europa.eu/person/37
38,Mr,Jacques,Vendroux,,,male,France,Calais (Pas-de-Calais),###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/38.jpg,,,,,,,https://data.europarl.europa.eu/person/38
39,Mr,Decio,Scardaccione,,,male,Italy,Sant'Arcangelo (Potenza),28/03/1917 01:00,,https://www.europarl.europa.eu/mepphoto/39.jpg,,,,,,,https://data.europarl.europa.eu/person/39
40,Mr,Jacques,Vial,,,male,France,Paris,15/06/1913 01:00,,https://www.europarl.europa.eu/mepphoto/40.jpg,,,,,,,https://data.europarl.europa.eu/person/40
41,Mr,Raymond,Triboulet,,,male,France,Paris,03/10/1906 01:00,,https://www.europarl.europa.eu/mepphoto/41.jpg,,,,,,,https://data.europarl.europa.eu/person/41
42,Mr,Louis,Terrenoire,,,male,France,Lyon (Rhône),10/11/1908 01:00,,https://www.europarl.europa.eu/mepphoto/42.jpg,,,,,,,https://data.europarl.europa.eu/person/42
43,Mr,Alain,Terrenoire,,,male,France,Lyon,14/06/1941 12:00,,https://www.europarl.europa.eu/mepphoto/43.jpg,,,,,,,https://data.europarl.europa.eu/person/43
44,Mr,René,Tomasini,,,male,France,Petreto-Bicchisano (Corse),14/04/1919 01:00,,https://www.europarl.europa.eu/mepphoto/44.jpg,,,,,,,https://data.europarl.europa.eu/person/44
45,Mr,Werner,Zywietz,,,male,Germany,Saleschen (Ostpreussen),21/05/1940 12:00,,https://www.europarl.europa.eu/mepphoto/45.jpg,,,,,,,https://data.europarl.europa.eu/person/45
46,Mr,Herbert,Wehner,,,male,Germany,Dresden,11/07/1906 01:00,,https://www.europarl.europa.eu/mepphoto/46.jpg,,,,,,,https://data.europarl.europa.eu/person/46
47,Mr,Rudolf,Werner,,,male,Germany,Hannover,31/03/1920 01:00,,https://www.europarl.europa.eu/mepphoto/47.jpg,,,,,,,https://data.europarl.europa.eu/person/47
48,Mr,Hans-Jürgen,Wischnewski,,,male,Germany,Allenstein (Ostpreussen),24/07/1922 01:00,,https://www.europarl.europa.eu/mepphoto/48.jpg,,,,,,,https://data.europarl.europa.eu/person/48
49,Mr,Erich,Wolfram,,,male,Germany,Bruch (Sudetenland),05/10/1928 01:00,,https://www.europarl.europa.eu/mepphoto/49.jpg,,,,,,,https://data.europarl.europa.eu/person/49
50,Mr,Peter,Würtz,,,male,Germany,Berlin,06/09/1939 01:00,,https://www.europarl.europa.eu/mepphoto/50.jpg,,,,,,,https://data.europarl.europa.eu/person/50
51,Mr,Werner,Zeyer,,,male,Germany,Oberthal (Kreis St. Wende,25/05/1929 01:00,,https://www.europarl.europa.eu/mepphoto/51.jpg,,,,,,,https://data.europarl.europa.eu/person/51
52,Mr,Otto,Weinkamm,,,male,Germany,Aschaffenburg,13/02/1902 01:36,,https://www.europarl.europa.eu/mepphoto/52.jpg,,,,,,,https://data.europarl.europa.eu/person/52
53,Ms,Johanna F.,Schouwenaar-Fransen,,,female,Netherlands,Rotterdam,03/05/1909 01:00,,https://www.europarl.europa.eu/mepphoto/53.jpg,,,,,,,https://data.europarl.europa.eu/person/53
54,Mr,Willem J.,Schuijt,,,male,Netherlands,Amsterdam,27/06/1909 01:00,,https://www.europarl.europa.eu/mepphoto/54.jpg,,,,,,,https://data.europarl.europa.eu/person/54
55,Mr,THE LORD,Walston,,,male,United Kingdom,Newton (Cambridge),28/11/1918 02:00,,https://www.europarl.europa.eu/mepphoto/55.jpg,,,,,,,https://data.europarl.europa.eu/person/55
56,Mr,Walter,Suck,,,male,Germany,Flensburg,21/09/1912 01:00,,https://www.europarl.europa.eu/mepphoto/56.jpg,,,,,,,https://data.europarl.europa.eu/person/56
57,Mr,Karl-Heinz,Walkhoff,,,male,Germany,Habighorst,26/02/1936 02:00,,https://www.europarl.europa.eu/mepphoto/57.jpg,,,,,,,https://data.europarl.europa.eu/person/57
58,Mr,E.M.J.A.,Sassen,,,male,Netherlands,s'Hertogenbosch,08/09/1911 01:00,,https://www.europarl.europa.eu/mepphoto/58.jpg,,,,,,,https://data.europarl.europa.eu/person/58
59,Mr,Willem,Scholten,,,male,Netherlands,Deventer,01/06/1927 01:00,,https://www.europarl.europa.eu/mepphoto/59.jpg,,,,,,,https://data.europarl.europa.eu/person/59
60,Mr,Natale,Santero,,,male,Italy,Saliceto (Como),###############################################################################################################################################################################################################################################################,,https://www.europarl.europa.eu/mepphoto/60.jpg,,,,,,,https://data.europarl.europa.eu/person/60
61,Mr,Carlo,Scarascia Mugnozza,,,male,Italy,Roma,19/01/1920 02:00,,https://www.europarl.europa.eu/mepphoto/61.jpg,,,,,,,https://data.europarl.europa.eu/person/61
62,Mr,Pieter J.A.,van der Sanden,,,male,Netherlands,Gouda,11/11/1924 02:00,,https://www.europarl.europa.eu/mepphoto/62.jpg,,,,,,,https://data.europarl.europa.eu/person/62
63,Mr,Agide,Samaritani,,,male,Italy,Alfonsine (Ravenna),13/06/1921 01:00,,https://www.europarl.europa.eu/mepphoto/63.jpg,,,,,,,https://data.europarl.europa.eu/person/63
